Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";3;12;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";4;12;kg;7;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";1;30;kg;12;;;;0;"";;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";2;35;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";3;25;kg;12;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";4;25;kg;12;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Sit Up";1;;;15;;;;0;"";;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Sit Up";2;10;kg;15;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Sit Up";3;10;kg;12;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Crunch (Machine)";1;40;kg;15;;;;0;"";;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Crunch (Machine)";2;40;kg;15;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Crunch (Machine)";3;40;kg;15;;;;0;;;1h 22m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Leg Press";1;69;kg;20;;;;0;"";"Allenamento quadricipiti, quadricipite femorale, polpacci, glutei e deltoidi";1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Leg Press";2;93;kg;12;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Leg Press";3;101;kg;12;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Leg Press";4;101;kg;12;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";1;40;kg;15;;;;0;"";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";2;50;kg;15;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";3;60;kg;12;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";4;60;kg;12;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";1;30;kg;12;;;;0;"";;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";2;40;kg;10;;;;0;;;1h 16m
2022-03-13 09:12:59;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";3;40;kg;10;;;;0;;;1h 16m
